color,price,model,specs,engine,bodytype,mileage,city
Black,"$12,169 ",2014 Jeep Patriot Sport,"Used 2014 Jeep Patriot Sport with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, MP3, Power Steering, Aux Audio Adapter, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,SUV,"Mileage: 68,530 miles",Boston
Brown,"$31,000 ",2015 Lincoln MKX,"Used 2015 Lincoln MKX with AWD, Remote Start, Leather Seats, Fog Lights, Navigation System, Heated Seats, Rear-View Camera, Air Conditioning, Trip Computer, Power Seat (Driver), Power Locks",6 Cyl,SUV,"Mileage: 12,773 miles",Boston
Black,"$15,995 ",2015 Ford Fusion SE,"Used 2015 Ford Fusion SE with FWD, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, Power Seat (Driver), Intermittent Wipers, Power Locks",4 Cyl,Sedan,"Mileage: 20,243 miles",Boston
Brown,"$29,960 ",2013 Lexus RX 350,"Used 2013 Lexus RX 350 with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, AM/FM",6 Cyl,SUV,"Mileage: 27,101 miles",Boston
Gray,"$17,995 ",2016 Volkswagen Jetta SEL,"Used 2016 Volkswagen Jetta SEL with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,Sedan,"Mileage: 5,341 miles",Boston
White,"$27,858 ",2014 Volvo XC60 T6,"Used 2014 Volvo XC60 T6 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",6 Cyl,SUV,"Mileage: 26,136 miles",Boston
Silver,"$14,896 ",2016 Toyota Corolla S,"Used 2016 Toyota Corolla S with FWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,Sedan,"Mileage: 12,679 miles",Boston
Silver,"$13,783 ",2015 Toyota Corolla S,,4 Cyl,Sedan,"Mileage: 24,058 miles",Boston
White,"$14,598 ",2015 Toyota Camry LE,"Used 2015 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 13,896 miles",Boston
Gray,"$20,488 ",2014 Toyota Venza LE,"Used 2014 Toyota Venza LE with AWD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",6 Cyl,Wagon,"Mileage: 30,743 miles",Boston
Blue,"$47,975 ",2014 BMW 7 Series 750Li xDrive,"Used 2014 BMW 7 Series 750Li xDrive with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Rear-View Camera, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",8 Cyl,Sedan,"Mileage: 26,048 miles",Boston
