model,bodytype,color,specs,engine,mileage,price,city
2014 Nissan Versa Note,Hatchback,Blue,"Used 2014 Nissan Versa Note with FWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM",4 Cyl,"Mileage: 27,130 miles","$9,324 ",NYC
2014 BMW X3 xDrive28i,SUV,Black,"Used 2014 BMW X3 xDrive28i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",4 Cyl,"Mileage: 30,596 miles","$24,752 ",NYC
2014 Mercedes-Benz CLA 250,Sedan,Black,"Used 2014 Mercedes-Benz CLA 250 with FWD, Leather Seats, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,"Mileage: 45,176 miles","$21,895 ",NYC
2014 Honda CR-V LX,SUV,Black,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 16,938 miles","$17,900 ",NYC
2013 GMC Terrain SLT,SUV,Black,"Used 2013 GMC Terrain SLT with FWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering",4 Cyl,"Mileage: 49,912 miles","$14,951 ",NYC
2014 Audi A5 Premium Plus,Convertible,Blue,"Used 2014 Audi A5 Premium Plus with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Cruise Control, Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, AM/FM",4 Cyl,"Mileage: 53,754 miles","$25,970 ",NYC
2014 Honda Civic LX,Sedan,Gray,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 32,648 miles","$12,350 ",NYC
2016 Toyota Highlander Limited,SUV,White,"Used 2016 Toyota Highlander Limited with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Heated Seats, Split/Folding Seats, Air Conditioning, AM/FM, 4-Wheel Disc Brakes, Trip Computer",6 Cyl,"Mileage: 16,035 miles","$36,299 ",NYC
2016 Nissan Maxima Platinum,Sedan,Red,"Used 2016 Nissan Maxima Platinum with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering",6 Cyl,"Mileage: 14,956 miles","$27,997 ",NYC
2014 Honda Pilot EXL,SUV,Blue,"Used 2014 Honda Pilot EXL with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats",6 Cyl,"Mileage: 12,723 miles","$27,495 ",NYC
2014 Audi A4 2.0T,Sedan,White,"Used 2014 Audi A4 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,"Mileage: 16,076 miles","$25,200 ",NYC
2015 Lexus ES 350,Sedan,Black,"Used 2015 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, 4-Wheel Disc Brakes",6 Cyl,"Mileage: 15,192 miles","$27,990 ",NYC
2014 Dodge Durango R/T,SUV,Black,"Used 2014 Dodge Durango R/T with AWD, Remote Start, Leather Seats, Fog Lights, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering",8 Cyl,"Mileage: 57,469 miles","$27,391 ",NYC
2015 Toyota Corolla L,Sedan,White,"Used 2015 Toyota Corolla L with FWD, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer",4 Cyl,"Mileage: 40,849 miles","$12,999 ",NYC
2014 Cadillac ATS Luxury,Sedan,Black,"Used 2014 Cadillac ATS Luxury with AWD, Remote Start, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats",4 Cyl,"Mileage: 33,517 miles","$20,000 ",NYC
2014 Toyota Sienna XLE,Minivan,Red,"Used 2014 Toyota Sienna XLE with AWD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",6 Cyl,"Mileage: 29,718 miles","$26,043 ",NYC
2013 Honda Accord LX,Sedan,Gray,"Used 2013 Honda Accord LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,"Mileage: 13,609 miles","$14,577 ",NYC
2014 BMW X6 xDrive35i,SUV,White,"Used 2014 BMW X6 xDrive35i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",6 Cyl,"Mileage: 44,488 miles","$33,990 ",NYC
2015 BMW 5 Series 550i xDrive,Sedan,Gray,"Used 2015 BMW 5 Series 550i xDrive with AWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio",8 Cyl,"Mileage: 33,824 miles","$44,399 ",NYC
2014 Volkswagen Jetta SE,Sedan,Red,"Used 2014 Volkswagen Jetta SE with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,"Mileage: 16,372 miles","$12,995 ",NYC
2014 Audi S5,Coupe,Gray,"Used 2014 Audi S5 with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 10,816 miles","$38,296 ",NYC
2015 Ford Explorer XLT,SUV,Gray,"Used 2015 Ford Explorer XLT with 4WD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",6 Cyl,"Mileage: 30,189 miles","$26,450 ",NYC
2014 Ford Focus SE,Sedan,White,"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 20,966 miles","$10,750 ",NYC
2014 BMW X3 xDrive28i,SUV,Gray,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,"Mileage: 33,655 miles","$27,845 ",NYC
2014 Toyota Camry XLE,Sedan,Red,"Used 2014 Toyota Camry XLE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,"Mileage: 17,163 miles","$16,971 ",NYC
2014 BMW X3 xDrive28i,SUV,Black,"Used 2014 BMW X3 xDrive28i with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",4 Cyl,"Mileage: 34,674 miles","$27,599 ",NYC
2014 Honda CR-V LX,SUV,Blue,,4 Cyl,"Mileage: 24,365 miles","$15,997 ",NYC
2014 GMC Acadia SLE,SUV,Silver,"Used 2014 GMC Acadia SLE with AWD, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,"Mileage: 29,412 miles","$24,750 ",NYC
