price,color,mileage,bodytype,model,specs,engine,city
"$11,790 ",Blue,"Mileage: 32,498 miles",Sedan,2014 Hyundai Sonata GLS,"Used 2014 Hyundai Sonata GLS with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,LA
"$16,985 ",Unspecified,"Mileage: 23,588 miles",Sedan,2016 Ford Fusion SE,"Used 2016 Ford Fusion SE with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats",4 Cyl,LA
"$12,995 ",White,"Mileage: 21,594 miles",Sedan,2016 Ford Focus SE,"Used 2016 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,LA
"$34,656 ",Silver,"Mileage: 30,088 miles",SUV,2015 Lexus RX 350,"Used 2015 Lexus RX 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,LA
"$17,492 ",Brown,"Mileage: 20,100 miles",SUV,2015 GMC Terrain SLE,"Used 2015 GMC Terrain SLE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",4 Cyl,LA
"$12,295 ",White,"Mileage: 28,975 miles",Sedan,2014 Volkswagen Jetta SE,"Used 2014 Volkswagen Jetta SE with FWD, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes, Trip Computer",4 Cyl,LA
"$23,499 ",Gray,"Mileage: 32,516 miles",SUV,2014 Ford Explorer XLT,,6 Cyl,LA
"$16,985 ",Unspecified,"Mileage: 23,588 miles",Sedan,2016 Ford Fusion SE,"Used 2016 Ford Fusion SE with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats",4 Cyl,LA
"$15,999 ",Silver,"Mileage: 56,011 miles",SUV,2014 Subaru XV Crosstrek Touring,,4 Cyl,LA
"$18,799 ",Gray,"Mileage: 51,432 miles",Sedan,2014 Toyota Avalon XLE,"Used 2014 Toyota Avalon XLE with FWD, Leather Seats, Cruise Control, Heated Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster",6 Cyl,LA
"$21,991 ",Blue,"Mileage: 42,198 miles",SUV,2014 GMC Acadia SLE,"Used 2014 GMC Acadia SLE with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats",6 Cyl,LA
"$25,995 ",Black,"Mileage: 12,481 miles",SUV,2016 Mazda CX-5 Grand Touring,"Used 2016 Mazda CX-5 Grand Touring with FWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM",4 Cyl,LA
"$39,890 ",White,"Mileage: 19,656 miles",SUV,2015 Lexus RX 450h,"Used 2015 Lexus RX 450h with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, Satellite Radio",6 Cyl,LA
"$18,630 ",White,"Mileage: 31,551 miles",SUV,2015 Kia Sorento LX,"Used 2015 Kia Sorento LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,LA
"$27,993 ",White,"Mileage: 30,264 miles",Sedan,2014 BMW 5 Series 528i,"Used 2014 BMW 5 Series 528i with RWD, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,LA
"$17,999 ",Gray,"Mileage: 33,786 miles",Wagon,2015 Toyota Prius v Two,,4 Cyl,LA
"$31,000 ",White,"Mileage: 16,475 miles",Sedan,2015 Lexus ES 350,"Used 2015 Lexus ES 350 with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio",6 Cyl,LA
"$16,195 ",Gray,"Mileage: 35,916 miles",SUV,2014 Volkswagen Tiguan SE,"Used 2014 Volkswagen Tiguan SE with FWD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,LA
"$10,997 ",Unspecified,"Mileage: 10,635 miles",Hatchback,2016 Chevrolet Spark LS,"Used 2016 Chevrolet Spark LS with FWD, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",4 Cyl,LA
