price,model,specs,color,bodytype,mileage,engine,city
"$8,500 ",2009 Toyota Camry LE,"Used 2009 Toyota Camry LE with FWD, CD (Single Disc), AM/FM",Gray,Sedan,"Mileage: 95,725 miles",4 Cyl,SanDiego
"$22,395 ",2004 Chevrolet Corvette,"Used 2004 Chevrolet Corvette with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Windows, AM/FM, 4-Wheel Disc Brakes",Red,Convertible,"Mileage: 25,245 miles",8 Cyl,SanDiego
"$9,999 ",2008 BMW 3 Series 328i,"Used 2008 BMW 3 Series 328i with RWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM",Black,Coupe,"Mileage: 104,833 miles",6 Cyl,SanDiego
"$30,995 ",2012 Land Rover Range Rover HSE,"Used 2012 Land Rover Range Rover HSE with 4WD, Leather Seats, Navigation System, Heated Seats, Air Conditioning",Gray,SUV,"Mileage: 87,290 miles",8 Cyl,SanDiego
"$7,999 ",2007 Mercedes-Benz C-Class C 230,"Used 2007 Mercedes-Benz C-Class C 230 with RWD, Leather Seats, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), DVD, Air Conditioning, MP3",White,Sedan,"Mileage: 96,897 miles",6 Cyl,SanDiego
"$12,995 ",2008 BMW X5 4.8i,"Used 2008 BMW X5 4.8i with AWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Power Steering",Black,SUV,"Mileage: 98,219 miles",8 Cyl,SanDiego
"$17,499 ",2014 Scion FR-S,"Used 2014 Scion FR-S with RWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes",Orange,Coupe,"Mileage: 33,407 miles",4 Cyl,SanDiego
"$13,999 ",2011 Toyota Sienna Base,"Used 2011 Toyota Sienna Base with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows",Silver,Minivan,"Mileage: 72,389 miles",4 Cyl,SanDiego
"$12,999 ",2010 Jeep Liberty Limited Edition,"Used 2010 Jeep Liberty Limited Edition with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Blue,SUV,"Mileage: 63,539 miles",6 Cyl,SanDiego
"$9,750 ",2006 Dodge Ram 1500 SLT,"Used 2006 Dodge Ram 1500 SLT with RWD, Trailer Hitch, Alloy Wheels, Keyless Entry, Quad Cab, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Windows",Red,Pickup,"Mileage: 137,800 miles",8 Cyl,SanDiego
"$24,500 ",2013 Mercedes-Benz E-Class E 350,"Used 2013 Mercedes-Benz E-Class E 350 with RWD, Leather Seats, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, 4-Wheel Disc Brakes, Power Locks",Black,Sedan,"Mileage: 30,734 miles",6 Cyl,SanDiego
"$16,700 ",2013 Mercedes-Benz C-Class C 250,"Used 2013 Mercedes-Benz C-Class C 250 with RWD, CD (Single Disc), Air Conditioning, Aux Audio Adapter, Handsfree/Bluetooth Integration",Silver,Sedan,"Mileage: 54,572 miles",4 Cyl,SanDiego
