mileage,specs,color,bodytype,engine,model,price,city
"Mileage: 24,798 miles","Used 2016 Hyundai Elantra SE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows",Brown,Sedan,4 Cyl,2016 Hyundai Elantra SE,"$10,777 ",Miami
"Mileage: 20,178 miles","Used 2015 Buick Enclave Convenience with FWD, Remote Start, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",Blue,SUV,6 Cyl,2015 Buick Enclave Convenience,"$21,191 ",Miami
"Mileage: 29,413 miles","Used 2013 Nissan Sentra S with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",Gray,Sedan,4 Cyl,2013 Nissan Sentra S,"$9,391 ",Miami
"Mileage: 31,873 miles","Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Brown,Sedan,4 Cyl,2016 Toyota Corolla LE,"$11,591 ",Miami
"Mileage: 82,613 miles","Used 2013 Mercedes-Benz M-Class ML 350 with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",Blue,SUV,6 Cyl,2013 Mercedes-Benz M-Class ML 350,"$22,991 ",Miami
"Mileage: 44,908 miles","Used 2014 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",White,Sedan,4 Cyl,2014 Toyota Camry LE,"$11,691 ",Miami
"Mileage: 20,178 miles","Used 2015 Buick Enclave Convenience with FWD, Remote Start, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3",Blue,SUV,6 Cyl,2015 Buick Enclave Convenience,"$21,191 ",Miami
"Mileage: 84,060 miles","Used 2011 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",Beige,Sedan,4 Cyl,2011 Toyota Camry LE,"$6,591 ",Miami
"Mileage: 45,944 miles","Used 2015 Chevrolet Malibu LS with FWD, Alloy Wheels, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Trip Computer, Power Seat (Driver)",Blue,Sedan,4 Cyl,2015 Chevrolet Malibu LS,"$10,990 ",Miami
"Mileage: 87,863 miles","Used 2009 Lincoln MKZ with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, AM/FM",Black,Sedan,6 Cyl,2009 Lincoln MKZ,"$7,990 ",Miami
"Mileage: 18,854 miles","Used 2010 Dodge Challenger SE with RWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",Blue,Coupe,6 Cyl,2010 Dodge Challenger SE,"$15,395 ",Miami
"Mileage: 24,105 miles","Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Power Windows, Trip Computer, Power Locks, Rear Window Defroster, Front Airbags (Driver)",White,Sedan,4 Cyl,2014 Honda Civic LX,"$11,995 ",Miami
"Mileage: 24,021 miles","Used 2014 Honda Civic Si with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",Red,Coupe,4 Cyl,2014 Honda Civic Si,"$15,999 ",Miami
"Mileage: 78,893 miles","Used 2012 Toyota Camry LE with FWD, Keyless Entry, Cruise Control, Power Steering, Intermittent Wipers",Black,Sedan,4 Cyl,2012 Toyota Camry LE,"$8,999 ",Miami
"Mileage: 42,402 miles","Used 2015 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",Black,Sedan,4 Cyl,2015 Honda Civic LX,"$10,999 ",Miami
"Mileage: 33,431 miles","Used 2014 BMW X3 xDrive28i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows",Black,SUV,4 Cyl,2014 BMW X3 xDrive28i,"$21,999 ",Miami
"Mileage: 31,370 miles","Used 2011 Buick Lucerne CXL with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering",Black,Sedan,6 Cyl,2011 Buick Lucerne CXL,"$12,959 ",Miami
"Mileage: 54,852 miles","Used 2014 BMW X6 xDrive35i with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",Silver,SUV,6 Cyl,2014 BMW X6 xDrive35i,"$29,997 ",Miami
"Mileage: 43,416 miles","Used 2014 Hyundai Genesis with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",Black,Sedan,6 Cyl,2014 Hyundai Genesis,"$17,691 ",Miami
"Mileage: 25,290 miles","Used 2014 Hyundai Santa Fe Sport with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",Silver,SUV,4 Cyl,2014 Hyundai Santa Fe Sport,"$19,200 ",Miami
"Mileage: 46,914 miles","Used 2015 Porsche Macan S with AWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering",White,SUV,6 Cyl,2015 Porsche Macan S,"$45,995 ",Miami
"Mileage: 17,478 miles","Used 2016 Dodge Durango SXT with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",Gray,SUV,6 Cyl,2016 Dodge Durango SXT,"$26,788 ",Miami
"Mileage: 28,642 miles","Used 2014 Smart Fortwo Pure with RWD, Keyless Entry, Air Conditioning, Cloth Seats, AM/FM, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)",Silver,Coupe,3 Cyl,2014 Smart Fortwo Pure,"$5,688 ",Miami
"Mileage: 6,694 miles","Used 2016 Subaru Legacy 2.5i Premium with AWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Red,Sedan,4 Cyl,2016 Subaru Legacy 2.5i Premium,"$16,993 ",Miami
"Mileage: 36,695 miles","Used 2014 Ford F-150 Lariat with RWD, Leather Seats, Fog Lights, Trailer Hitch, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, Aux Audio Adapter",Black,Pickup,6 Cyl,2014 Ford F-150 Lariat,"$29,991 ",Miami
"Mileage: 19,727 miles","Used 2015 Chevrolet Camaro LT with RWD, Remote Start, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio",Red,Coupe,6 Cyl,2015 Chevrolet Camaro LT,"$18,990 ",Miami
"Mileage: 11,014 miles","Used 2016 Acura MDX Technology with AWD, Power Sun/Moonroof, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",White,SUV,6 Cyl,2016 Acura MDX Technology,"$40,250 ",Miami
